sm;sup_m2;TOT_POB;HOGARES;sup_ev;OBJETIVO;ESC;HOSP;LAYER;ID_USO;POB_X_MANZ;BARRIOS;COMUNAS;x_cen;y_cen;coorCENTRO;coorCENT_1;densidad_pob
017-053;4902.29;606;293;0;0;0;0;COMERCIAL ADMINISTRATIVO;1;150.83288;ALMAGRO - BOEDO;5;5644459.686;6169329.597;-58.42501868;-34.611629;0.030767841
067-089;12863.72;711;267;0;0;1;0;RESIDENCIAL ABIERTO;5;243.77723;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5640065.378;6169364.633;-58.47291842;-34.61192231;0.018950757
002-071B;10279;1096;226;10597.17;1;0;0;COMERCIAL ADMINISTRATIVO;1;62.56692;CONSTITUCION - MONSERRAT - PUERTO MADERO -  RETIRO - SAN NICOLAS - SAN TELMO;1;5649629.715;6169238.452;-58.36865586;-34.6117097;0.006086868
020-010;10878.4;755;382;5842.33;1;0;0;RESIDENCIAL ABIERTO;5;250.44259;BALVANERA - SAN CRISTOBAL;3;5646403.891;6169289.072;-58.40382208;-34.61171872;0.023022006
081-121A;12085.87;1045;409;1796.12;1;0;0;RESIDENCIAL ABIERTO;5;261.7005;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5638284.057;6169388.571;-58.49233743;-34.61194812;0.021653427
057-121;3995.22;658;227;6187.3;1;0;0;RESIDENCIAL ABIERTO;5;58.17281;CABALLITO;6;5642451.244;6169355.805;-58.44691309;-34.61167353;0.014560602
012-028;13613.1;888;389;2177.06;1;0;0;RESIDENCIAL ABIERTO;5;287.79406;CONSTITUCION - MONSERRAT - PUERTO MADERO -  RETIRO - SAN NICOLAS - SAN TELMO;1;5647966.132;6169262.644;-58.38679098;-34.61173285;0.021140964
002-076;5061.89;1096;226;10597.17;1;0;0;COMERCIAL ADMINISTRATIVO;1;30.81106;CONSTITUCION - MONSERRAT - PUERTO MADERO -  RETIRO - SAN NICOLAS - SAN TELMO;1;5649725.682;6169248.791;-58.36761178;-34.61160254;0.006086869
036-138;17422.4;931;421;0;0;0;0;COMERCIAL ADMINISTRATIVO;1;931;ALMAGRO - BOEDO;5;5645032.252;6169290.156;-58.4187716;-34.61190367;0.053436955
089-018B;3500.01;842;292;0;0;0;0;RESIDENCIAL ABIERTO;5;78.75408;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5635118.957;6169485.6;-58.52685065;-34.61149528;0.022501101
081-007A;5938.9;807;323;0;0;0;0;RESIDENCIAL ABIERTO;5;138.58809;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5636925.655;6169438.384;-58.50715119;-34.61168134;0.02333565
059-019;14365.64;977;358;9328.58;1;0;0;RESIDENCIAL ABIERTO;5;329.52491;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5640820.343;6169361.406;-58.46468939;-34.61184809;0.022938408
089-034C;2889.07;862;307;3686.63;1;0;0;RESIDENCIAL ABIERTO;5;57.97132;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5635281.924;6169490.345;-58.52507516;-34.61143105;0.020065737
017-039;8095.78;791;321;0;0;1;0;RESIDENCIAL ABIERTO;5;193.86816;ALMAGRO - BOEDO;5;5644316.587;6169342.276;-58.42658046;-34.61153488;0.023946817
020-018;16281.48;1248;600;6916.35;1;0;0;RESIDENCIAL ABIERTO;5;1248;BALVANERA - SAN CRISTOBAL;3;5646533.04;6169295.261;-58.40241557;-34.61164452;0.076651508
045-144;8579.62;511;266;0;0;0;0;RESIDENCIAL ABIERTO;5;511;CABALLITO;6;5643922.399;6169334.062;-58.43087529;-34.61166424;0.059559747
012-037;13802.78;888;389;882.74;1;0;0;RESIDENCIAL ABIERTO;5;291.80408;CONSTITUCION - MONSERRAT - PUERTO MADERO -  RETIRO - SAN NICOLAS - SAN TELMO;1;5648088.23;6169271.69;-58.38546184;-34.61163374;0.021140964
028-008;12430.09;586;267;0;0;0;0;COMERCIAL ADMINISTRATIVO;1;294.66402;ALMAGRO - BOEDO;5;5645141.367;6169311.222;-58.41758595;-34.61169842;0.023705703
081-031;14084.54;868;319;0;0;0;0;RESIDENCIAL ABIERTO;5;244.02859;FLORESTA - MONTE CASTRO - VELEZ SARSFIELD - VERSALLES - VILLA LURO - VILLA REAL;10;5637263.896;6169419.591;-58.50346154;-34.61180551;0.017325989
087-093B;4476.18;786;297;0;0;0;0;RESIDENCIAL ABIERTO;5;88.69157;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5636525.614;6169463.345;-58.5115154;-34.61150969;0.019814121
067-110A;4753.59;698;252;9328.58;1;0;0;RESIDENCIAL ABIERTO;5;99.03797;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5640365.639;6169401.383;-58.46965189;-34.61155014;0.020834353
045-047;7151.24;774;322;6187.3;1;0;0;RESIDENCIAL ABIERTO;5;144.39133;CABALLITO;6;5642805.995;6169356.09;-58.44304669;-34.61162167;0.02019109
087-081B;4384.04;884;328;0;0;0;0;RESIDENCIAL ABIERTO;5;98.06785;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5636343.054;6169467.37;-58.51350582;-34.61149769;0.022369287
